Surface area of the Farm,Debt in Euros,Revenues,Revenues:SA,Debt in Euros : SA,Natura2000zones,Sex,Age range,Debt in EurosSW
13,272219,459057,35312.07692,20939.92308,0,1,7,272219
20,635413,842494,42124.7,31770.65,0,1,8,635413
16,412573,749725,46857.8125,25785.8125,0,2,7,412573
13,227974,365567,28120.53846,17536.46154,0,2,8,227974
17,378798,677231,39837.11765,22282.23529,0,1,7,378798
19,632218.6,122626.26,6454.013684,33274.66316,0,2,2,632218.6
10,46366,177159,17715.9,4636.6,0,1,9,46366
26,524600.4,398676.89,15333.72654,20176.93846,0,1,5,524600.4
17,139128,76193,4481.941176,8184,0,2,6,139128
15,668780,737061,49137.4,44585.33333,0,1,8,668780
