OTEXE,TDTE3
15,358319.4
15,12763
15,91106
15,47657.63
15,284542.28
15,659562
15,211532
15,40170
15,87938.86
15,56398
15,36520
15,101030.56
15,18495
15,69207
15,330743
15,136942
15,21755
15,321145
15,28747
15,228960
15,47365
15,37901
15,26294
15,386931
15,166303
15,350720
15,293297
15,135804
15,73508.77
15,453226
15,31118
15,157657.89
15,174352.86
15,129569.71
15,230264
15,110691
15,39879
15,123038.16
15,263.8
15,582702.63
15,2082
15,323008
15,111366
15,505076
15,383270
15,214930
15,334331
15,159514
15,340000
15,150149
15,76260.41
15,195904
15,28579
15,177600
15,287594
15,169469.98
15,60642
15,306129
15,38805
15,283029
15,83548
15,183537
15,158890.71
15,322763
15,134576
15,181239
15,261817.26
15,90303
15,158040
15,153170
15,460652
15,12621
15,512296
15,497440.16
15,539147.55
15,143210
15,45760.51
15,84099.83
15,211775.05
15,675002
15,45319
15,168044
15,157644.51
15,29812
15,134271.79
15,237432
15,194943.64
15,1930.18
15,116132
15,63770
15,105019.26
15,49572
15,305437
15,82272
15,60651.73
15,30470.31
15,10589
15,97922
15,19810
15,33956
15,132005
15,4144.9
15,194008.99
15,152646
15,114061
15,25053
15,461881
15,71744
15,7033.16
15,479715
15,46818
15,400504
15,29458
15,56533.72
15,44886.55
15,8784
15,89408
15,442550
15,101946
15,77903
15,18114.49
15,493290
15,155666
15,101422
15,13909
15,34434
15,45016
15,176536
15,217745
15,244374.51
15,110028.84
15,342282
15,410351
15,4763
15,247730
15,37481
15,141337
15,74597
15,9065.7
15,78164.82
15,345248.4
15,195007
15,15537.74
15,199067.87
15,15913
15,28913.68
15,114755.29
15,135307
15,378983
15,245713
15,53784
15,724929
15,4882
15,25939
15,134016
15,271049
15,386537
15,31152
15,76920.62
15,72771.29
15,170659.71
15,174568
15,143493
15,6838
15,179567.22
15,39056.3
15,142529.46
15,59347.84
15,55965.96
15,100554
15,158880
15,6653.73
15,67613
15,69513
15,70343
15,223092
15,145524
15,17578.75
15,37705
15,36223
15,13804
15,16100.18
15,6093.56
15,370035.83
15,2025.63
15,10614
15,199715
15,95679
15,281849
15,47158.9
15,155514
15,3252
15,12112
15,12363
15,12088
15,135850
15,256938
15,373852
15,690820
15,12851
15,431016
15,500025.98
15,286260.57
15,99088.38
15,148114
15,68205.04
15,63405
15,100205
15,308734.75
15,977549
15,1171524.95
15,8835.36
15,209565
15,139930
15,392810.08
15,34267
15,409657.58
15,337027.49
15,274818.44
15,84741.89
15,183042.3
15,81497.57
15,22097.3
15,267894.24
15,88424
15,46224.83
15,275981
15,30301
15,110512
15,374985
15,234996.02
15,55227
15,286337
15,45995
15,253753.05
15,490434.23
15,666871.57
15,574454.04
15,475595.17
15,111588.21
15,303032.76
15,133022
15,32846
15,36615.49
15,9608.47
15,296580
15,5403.01
15,19287
15,159755
15,54207
15,1126778.53
15,258599.1
15,318777.19
15,48787.22
15,8502
15,549880
15,141359
15,19548
15,318668
15,1972
15,8051.32
15,9778.69
15,44159
15,100827
15,181376.39
15,108075
15,41833
15,102772
15,25820
15,143903
15,108035.87
15,383973
15,841246
15,488783.38
15,70572.05
15,93788.33
15,473877
15,606613
15,245783.93
15,461146.23
15,138814
15,25807
15,80864
15,101615
15,158880
15,45926
15,191826
15,226085
15,52181
15,87143
15,384865.58
15,406082
15,11804.77
15,164114
15,32363
15,16235.8
15,47122.1
15,103301.79
15,465593.5
15,2734
15,38099.81
15,310546
15,19793
15,147514
15,59649
15,73298.12
15,62019
15,10968
15,17335
15,16192
15,185326.57
15,3279.8
15,17143.15
15,163297.36
15,575.63
15,213825
15,543116
15,12913
15,116589
15,123932
15,29070
15,39882.52
15,72040.54
15,89684
15,144267
15,57548.48
15,200174.85
15,174302
15,55165
15,224292
15,137225
15,36043.89
15,124768.05
15,143527.14
15,63922.48
15,257308
15,393398
15,420874.41
15,2883
15,91490
15,128124
15,83904
15,264151
15,88620
15,78440.94
15,22833.43
15,36859.94
15,209297
15,252234
15,69942.22
15,898.07
15,175041
15,41479
15,86452
15,70970.39
15,250647.34
15,319057
15,39666.76
15,193866
15,541248
15,186169
15,53887
15,305344.94
15,37010
15,299079
15,257404
15,299647
15,177105
15,36800
15,3169
15,158072
15,146827
15,169871.17
15,118724.68
15,97160
15,79959
15,30230
15,45062
15,183181
15,312484
15,24863.72
15,391602
16,104118
16,31714
16,0
16,109179
16,32221.25
16,81350
16,203273
16,73546
16,344258
16,19156
16,188065
16,17949
16,718889.43
16,480214.46
16,53359.65
16,42388.93
16,904936.84
16,233070
16,935989
16,88145
16,579207.45
16,395115
16,297176
16,461262.77
16,54553.24
16,243567.76
16,55695
16,695033.11
16,59336
16,256168.19
16,437039
16,202031
16,173717
16,403419.8
16,1156705
16,360758
16,83350
16,251179
16,734349.71
16,58413
16,117337
16,375685.05
16,60941
16,212062.93
16,509157.86
16,81635.85
16,526699.97
16,157488
16,111856
16,413455.93
16,31742.63
16,312790
16,254631
16,25258
16,39524
16,8662.97
16,461360
16,182156
16,185958
16,84996
16,357045
16,688991
16,335292.04
16,40684.18
16,554092
16,137732.52
16,230190
16,25805
16,430849
16,433370.27
16,383727.57
16,197931.25
16,103303.68
16,292682.32
16,158977.41
16,325507.92
16,70798
16,20142
16,634655.71
16,147133.08
16,1574580
16,525560
16,242899.66
16,118990
16,136953.23
16,50988.49
16,284923
16,291207.73
16,13145.48
16,328041
16,191477.59
16,757423
16,466268.32
16,111985
16,113846.89
16,21749
16,30282.02
16,159288
16,235495
16,328146
16,105677.08
16,222423
16,89391.78
16,222312
16,357599
16,174676
16,263741.82
16,119913.32
16,270403
16,251732
16,122069.28
16,105877
16,63752
16,249834.11
16,24875
16,174163
16,107208
16,66550.82
16,233904
16,503198
16,297602
16,217509
16,237331.98
16,73286.47
16,87803.57
16,143029.93
16,137169.01
16,183333
16,799368
16,336430
16,2077025
16,108119
16,359478
16,440974.28
16,34973.44
16,265831.75
16,108415
16,204074
16,70976
16,118210
16,114982
16,472761
16,105950.2
16,604100.88
16,1823489
16,113498
16,772057
16,27926
16,70203
16,1839738
16,255859
16,35460
16,42444.77
16,36292.71
16,21715
16,73930
16,68651
16,235860.76
16,293272.96
